County,Male,Female,Intersex,TotalPopulation,NumberOfHouseholds,Farming,Tea,Coffee
Mombasa,610257,598046,30,1208333,378422,TRUE,FALSE,FALSE
Kwale,425121,441681,18,866820,173176,TRUE,FALSE,FALSE
Kilifi,704089,749673,25,1453787,298472,TRUE,FALSE,FALSE
Tana River,158550,157391,2,315943,68242,TRUE,FALSE,FALSE
Lamu,76103,67813,4,143920,37963,TRUE,FALSE,FALSE
Taita Taveta,173337,167327,7,340671,96429,TRUE,FALSE,FALSE
Garissa,458975,382344,34,841353,141394,TRUE,FALSE,FALSE
Wajir,415374,365840,49,781263,127932,TRUE,FALSE,FALSE
Mandera,434976,432444,37,867457,125763,TRUE,FALSE,FALSE
Marsabit,243548,216219,18,459785,77495,TRUE,FALSE,FALSE
Isiolo,139510,128483,9,268002,58072,TRUE,FALSE,FALSE
Meru,767698,777975,41,1545714,426360,TRUE,TRUE,TRUE
Tharaka,193764,199406,7,393177,109860,TRUE,TRUE,TRUE
Embu,304208,304367,24,608599,182743,TRUE,TRUE,TRUE
Kitui,549003,587151,33,1136187,262942,TRUE,FALSE,FALSE
Machakos,710707,711191,34,1421932,402466,TRUE,FALSE,TRUE
Makueni,489691,497942,20,987653,244669,TRUE,FALSE,TRUE
Nyandarua,315022,323247,20,638289,179686,TRUE,FALSE,FALSE
Nyeri,374288,384845,31,759164,248050,TRUE,TRUE,TRUE
Kirinyaga,302011,308369,31,610411,204188,TRUE,TRUE,TRUE
Murang'a,523940,532669,31,1056640,318105,TRUE,TRUE,TRUE
Kiambu,1187146,1230454,135,2417735,795241,TRUE,TRUE,TRUE
Turkana,478087,448868,21,926976,164519,TRUE,FALSE,FALSE
West Pokot,307013,314213,15,621241,116182,TRUE,FALSE,TRUE
Samburu,156774,153546,7,310327,65910,TRUE,FALSE,FALSE
Trans Nzoia,489107,501206,28,990341,223808,TRUE,TRUE,TRUE
Uasin Gishu,580269,582889,28,1163186,304943,TRUE,FALSE,FALSE
Elgeyo-Marakwet,227317,227151,12,454480,99861,TRUE,TRUE,TRUE
Nandi,441259,444430,22,885711,199426,TRUE,TRUE,TRUE
Baringo,336322,330428,13,666763,142518,TRUE,FALSE,TRUE
Laikipia,259440,259102,18,518560,149271,TRUE,FALSE,FALSE
Nakuru,1077272,1084835,95,2162202,616046,TRUE,TRUE,FALSE
Narok,579042,578805,26,1157873,241125,TRUE,FALSE,FALSE
Kajiado,557098,560704,38,1117840,316179,TRUE,FALSE,FALSE
Kericho,450741,451008,28,901777,206036,TRUE,TRUE,TRUE
Bomet,434287,441379,23,875689,187641,TRUE,TRUE,TRUE
Kakamega,897133,970406,40,1867579,433207,TRUE,TRUE,TRUE
Vihiga,283678,306323,12,590013,143365,TRUE,TRUE,TRUE
Bungoma,812146,858389,35,1670570,358796,TRUE,TRUE,TRUE
Busia,426252,467401,28,893681,198152,TRUE,FALSE,TRUE
Siaya,471669,521496,18,993183,250698,TRUE,FALSE,FALSE
Kisumu,560942,594609,23,1155574,300745,TRUE,FALSE,FALSE
Homa Bay,539560,592367,23,1131950,262036,TRUE,TRUE,TRUE
Migori,536187,580214,35,1116436,240168,TRUE,FALSE,TRUE
Kisii,605784,661038,38,1266860,308054,TRUE,TRUE,TRUE
Nyamira,290907,314656,13,605576,150669,TRUE,TRUE,TRUE
Nairobi,2192452,2204376,245,4397073,1506888,TRUE,FALSE,FALSE
