County,Male,Female,Intersex,TotalPopulation,NumberOfHouseholds
Mombasa,610257,598046,30,1208333,High
Kwale,425121,441681,18,866820,Medium
Kilifi,704089,749673,25,1453787,Medium
Tana River,158550,157391,2,315943,Low
Lamu,76103,67813,4,143920,Low
Taita Taveta,173337,167327,7,340671,Low
Garissa,458975,382344,34,841353,Low
Wajir,415374,365840,49,781263,Low
Mandera,434976,432444,37,867457,Low
Marsabit,243548,216219,18,459785,Low
Isiolo,139510,128483,9,268002,Low
Meru,767698,777975,41,1545714,High
Tharaka,193764,199406,7,393177,Low
Embu,304208,304367,24,608599,Medium
Kitui,549003,587151,33,1136187,Medium
Machakos,710707,711191,34,1421932,High
Makueni,489691,497942,20,987653,Medium
Nyandarua,315022,323247,20,638289,Medium
Nyeri,374288,384845,31,759164,Medium
Kirinyaga,302011,308369,31,610411,Medium
Murang'a,523940,532669,31,1056640,High
Kiambu,1187146,1230454,135,2417735,High
Turkana,478087,448868,21,926976,Medium
West Pokot,307013,314213,15,621241,Low
Samburu,156774,153546,7,310327,Low
Trans Nzoia,489107,501206,28,990341,Medium
Uasin Gishu,580269,582889,28,1163186,High
Elgeyo-Marakwet,227317,227151,12,454480,Low
Nandi,441259,444430,22,885711,Medium
Baringo,336322,330428,13,666763,Medium
Laikipia,259440,259102,18,518560,Medium
Nakuru,1077272,1084835,95,2162202,High
Narok,579042,578805,26,1157873,Medium
Kajiado,557098,560704,38,1117840,High
Kericho,450741,451008,28,901777,Medium
Bomet,434287,441379,23,875689,Medium
Kakamega,897133,970406,40,1867579,High
Vihiga,283678,306323,12,590013,Medium
Bungoma,812146,858389,35,1670570,High
Busia,426252,467401,28,893681,Medium
Siaya,471669,521496,18,993183,Medium
Kisumu,560942,594609,23,1155574,Medium
Homa Bay,539560,592367,23,1131950,Medium
Migori,536187,580214,35,1116436,Medium
Kisii,605784,661038,38,1266860,High
Nyamira,290907,314656,13,605576,Medium
Nairobi,2192452,2204376,245,4397073,High
